date,ndvi
10-11-2013,0.592729884
11-11-2013,0.600282719
12-11-2013,0.593332878
13-11-2013,0.586383036
14-11-2013,0.579433195
15-11-2013,0.572483353
16-11-2013,0.565533512
17-11-2013,0.55858367
18-11-2013,0.551633829
19-11-2013,0.544683987
20-11-2013,0.537734146
21-11-2013,0.530784304
22-11-2013,0.523834463
23-11-2013,0.516884622
24-11-2013,0.50993478
25-11-2013,0.502984939
26-11-2013,0.496035097
27-11-2013,0.489085256
28-11-2013,0.482135414
29-11-2013,0.475185573
30-11-2013,0.468235731
01-12-2013,0.46128589
02-12-2013,0.454336048
03-12-2013,0.447386207
04-12-2013,0.440436365
05-12-2013,0.433486524
06-12-2013,0.426536682
07-12-2013,0.442785203
08-12-2013,0.459033723
09-12-2013,0.475282243
10-12-2013,0.491530763
11-12-2013,0.507779283
12-12-2013,0.524027804
13-12-2013,0.540276324
14-12-2013,0.530088924
15-12-2013,0.519901524
16-12-2013,0.509714124
17-12-2013,0.499526724
18-12-2013,0.489339324
19-12-2013,0.479151924
20-12-2013,0.468964524
21-12-2013,0.458777124
22-12-2013,0.448589724
23-12-2013,0.438402324
24-12-2013,0.428214924
25-12-2013,0.418027524
26-12-2013,0.407840124
27-12-2013,0.397652724
28-12-2013,0.387465324
29-12-2013,0.377277924
30-12-2013,0.377319847
31-12-2013,0.37736177
01-01-2014,0.377403693
02-01-2014,0.377445616
03-01-2014,0.377487539
04-01-2014,0.377529461
05-01-2014,0.377571384
06-01-2014,0.377613307
07-01-2014,0.37765523
08-01-2014,0.377697153
09-01-2014,0.377739076
10-01-2014,0.377780999
11-01-2014,0.377822922
12-01-2014,0.377864845
13-01-2014,0.377906768
14-01-2014,0.377948691
15-01-2014,0.377990613
16-01-2014,0.378032536
17-01-2014,0.378074459
18-01-2014,0.378116382
19-01-2014,0.378158305
20-01-2014,0.378200228
21-01-2014,0.378242151
22-01-2014,0.378284074
23-01-2014,0.378325997
24-01-2014,0.37836792
25-01-2014,0.378409843
26-01-2014,0.378451765
27-01-2014,0.378493688
28-01-2014,0.378535611
29-01-2014,0.378577534
30-01-2014,0.378619457
31-01-2014,0.37866138
